message_id,channel_name,class_name,confidence,image_category,image_path
78,CheMed123,person,0.3556,promotional,data/raw/images\CheMed123\78.jpg
79,CheMed123,none,0.0,other,data/raw/images\CheMed123\79.jpg
80,CheMed123,person,0.9279,promotional,data/raw/images\CheMed123\80.jpg
80,CheMed123,bottle,0.7433,promotional,data/raw/images\CheMed123\80.jpg
80,CheMed123,chair,0.5636,promotional,data/raw/images\CheMed123\80.jpg
81,CheMed123,bottle,0.8818,promotional,data/raw/images\CheMed123\81.jpg
81,CheMed123,bottle,0.8327,promotional,data/raw/images\CheMed123\81.jpg
81,CheMed123,bottle,0.8217,promotional,data/raw/images\CheMed123\81.jpg
81,CheMed123,bottle,0.8041,promotional,data/raw/images\CheMed123\81.jpg
81,CheMed123,bottle,0.7617,promotional,data/raw/images\CheMed123\81.jpg
82,CheMed123,bottle,0.8992,promotional,data/raw/images\CheMed123\82.jpg
82,CheMed123,bottle,0.8425,promotional,data/raw/images\CheMed123\82.jpg
82,CheMed123,bottle,0.7404,promotional,data/raw/images\CheMed123\82.jpg
82,CheMed123,apple,0.4785,promotional,data/raw/images\CheMed123\82.jpg
85,CheMed123,none,0.0,other,data/raw/images\CheMed123\85.jpg
86,CheMed123,person,0.9013,promotional,data/raw/images\CheMed123\86.jpg
86,CheMed123,refrigerator,0.357,promotional,data/raw/images\CheMed123\86.jpg
87,CheMed123,none,0.0,other,data/raw/images\CheMed123\87.jpg
88,CheMed123,none,0.0,other,data/raw/images\CheMed123\88.jpg
9,CheMed123,bottle,0.3872,promotional,data/raw/images\CheMed123\9.jpg
90,CheMed123,book,0.3078,promotional,data/raw/images\CheMed123\90.jpg
91,CheMed123,none,0.0,other,data/raw/images\CheMed123\91.jpg
92,CheMed123,none,0.0,other,data/raw/images\CheMed123\92.jpg
93,CheMed123,person,0.9077,promotional,data/raw/images\CheMed123\93.jpg
94,CheMed123,cup,0.7409,promotional,data/raw/images\CheMed123\94.jpg
94,CheMed123,person,0.4758,promotional,data/raw/images\CheMed123\94.jpg
94,CheMed123,cup,0.3856,promotional,data/raw/images\CheMed123\94.jpg
95,CheMed123,person,0.8684,promotional,data/raw/images\CheMed123\95.jpg
95,CheMed123,person,0.4918,promotional,data/raw/images\CheMed123\95.jpg
96,CheMed123,cup,0.326,promotional,data/raw/images\CheMed123\96.jpg
97,CheMed123,none,0.0,other,data/raw/images\CheMed123\97.jpg
2599,HakimApps_Guideline,person,0.7021,promotional,data/raw/images\HakimApps_Guideline\2599.jpg
2600,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2600.jpg
2601,HakimApps_Guideline,person,0.8389,promotional,data/raw/images\HakimApps_Guideline\2601.jpg
2602,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2602.jpg
2603,HakimApps_Guideline,bus,0.4165,promotional,data/raw/images\HakimApps_Guideline\2603.jpg
2604,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2604.jpg
2614,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2614.jpg
2619,HakimApps_Guideline,person,0.7502,promotional,data/raw/images\HakimApps_Guideline\2619.jpg
2630,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2630.jpg
2648,HakimApps_Guideline,bowl,0.5404,promotional,data/raw/images\HakimApps_Guideline\2648.jpg
2649,HakimApps_Guideline,person,0.8778,promotional,data/raw/images\HakimApps_Guideline\2649.jpg
2649,HakimApps_Guideline,truck,0.6995,promotional,data/raw/images\HakimApps_Guideline\2649.jpg
2649,HakimApps_Guideline,car,0.48,promotional,data/raw/images\HakimApps_Guideline\2649.jpg
2651,HakimApps_Guideline,person,0.7466,promotional,data/raw/images\HakimApps_Guideline\2651.jpg
2656,HakimApps_Guideline,tie,0.918,promotional,data/raw/images\HakimApps_Guideline\2656.jpg
2656,HakimApps_Guideline,person,0.8984,promotional,data/raw/images\HakimApps_Guideline\2656.jpg
2660,HakimApps_Guideline,person,0.9377,promotional,data/raw/images\HakimApps_Guideline\2660.jpg
2661,HakimApps_Guideline,bed,0.3353,promotional,data/raw/images\HakimApps_Guideline\2661.jpg
2662,HakimApps_Guideline,person,0.4532,promotional,data/raw/images\HakimApps_Guideline\2662.jpg
2662,HakimApps_Guideline,bottle,0.3157,promotional,data/raw/images\HakimApps_Guideline\2662.jpg
2662,HakimApps_Guideline,person,0.3041,promotional,data/raw/images\HakimApps_Guideline\2662.jpg
2662,HakimApps_Guideline,person,0.3016,promotional,data/raw/images\HakimApps_Guideline\2662.jpg
2663,HakimApps_Guideline,cake,0.5118,promotional,data/raw/images\HakimApps_Guideline\2663.jpg
2664,HakimApps_Guideline,cake,0.6348,promotional,data/raw/images\HakimApps_Guideline\2664.jpg
2664,HakimApps_Guideline,bowl,0.3757,promotional,data/raw/images\HakimApps_Guideline\2664.jpg
2665,HakimApps_Guideline,donut,0.5349,promotional,data/raw/images\HakimApps_Guideline\2665.jpg
2665,HakimApps_Guideline,donut,0.5335,promotional,data/raw/images\HakimApps_Guideline\2665.jpg
2666,HakimApps_Guideline,person,0.68,promotional,data/raw/images\HakimApps_Guideline\2666.jpg
2667,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2667.jpg
2672,HakimApps_Guideline,person,0.7304,promotional,data/raw/images\HakimApps_Guideline\2672.jpg
2672,HakimApps_Guideline,clock,0.729,promotional,data/raw/images\HakimApps_Guideline\2672.jpg
2672,HakimApps_Guideline,person,0.5928,promotional,data/raw/images\HakimApps_Guideline\2672.jpg
2672,HakimApps_Guideline,donut,0.4059,promotional,data/raw/images\HakimApps_Guideline\2672.jpg
2672,HakimApps_Guideline,person,0.32,promotional,data/raw/images\HakimApps_Guideline\2672.jpg
2677,HakimApps_Guideline,person,0.9163,promotional,data/raw/images\HakimApps_Guideline\2677.jpg
2678,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2678.jpg
2679,HakimApps_Guideline,refrigerator,0.5288,promotional,data/raw/images\HakimApps_Guideline\2679.jpg
2680,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2680.jpg
2681,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2681.jpg
2682,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2682.jpg
2685,HakimApps_Guideline,person,0.7809,promotional,data/raw/images\HakimApps_Guideline\2685.jpg
2685,HakimApps_Guideline,person,0.7401,promotional,data/raw/images\HakimApps_Guideline\2685.jpg
2685,HakimApps_Guideline,person,0.6067,promotional,data/raw/images\HakimApps_Guideline\2685.jpg
2685,HakimApps_Guideline,tv,0.3733,promotional,data/raw/images\HakimApps_Guideline\2685.jpg
2685,HakimApps_Guideline,cow,0.3353,promotional,data/raw/images\HakimApps_Guideline\2685.jpg
2688,HakimApps_Guideline,book,0.3184,promotional,data/raw/images\HakimApps_Guideline\2688.jpg
2694,HakimApps_Guideline,person,0.6467,promotional,data/raw/images\HakimApps_Guideline\2694.jpg
2694,HakimApps_Guideline,stop sign,0.5426,promotional,data/raw/images\HakimApps_Guideline\2694.jpg
2694,HakimApps_Guideline,person,0.5001,promotional,data/raw/images\HakimApps_Guideline\2694.jpg
2694,HakimApps_Guideline,person,0.4809,promotional,data/raw/images\HakimApps_Guideline\2694.jpg
2694,HakimApps_Guideline,person,0.4093,promotional,data/raw/images\HakimApps_Guideline\2694.jpg
2694,HakimApps_Guideline,person,0.3248,promotional,data/raw/images\HakimApps_Guideline\2694.jpg
2694,HakimApps_Guideline,person,0.3241,promotional,data/raw/images\HakimApps_Guideline\2694.jpg
2695,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2695.jpg
2696,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2696.jpg
2699,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2699.jpg
2700,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2700.jpg
2702,HakimApps_Guideline,clock,0.4197,promotional,data/raw/images\HakimApps_Guideline\2702.jpg
2702,HakimApps_Guideline,book,0.3321,promotional,data/raw/images\HakimApps_Guideline\2702.jpg
2704,HakimApps_Guideline,person,0.9163,promotional,data/raw/images\HakimApps_Guideline\2704.jpg
2705,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2705.jpg
2706,HakimApps_Guideline,refrigerator,0.5288,promotional,data/raw/images\HakimApps_Guideline\2706.jpg
2707,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2707.jpg
2708,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2708.jpg
2709,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2709.jpg
2710,HakimApps_Guideline,bottle,0.7002,promotional,data/raw/images\HakimApps_Guideline\2710.jpg
2710,HakimApps_Guideline,person,0.5792,promotional,data/raw/images\HakimApps_Guideline\2710.jpg
2710,HakimApps_Guideline,baseball glove,0.4577,promotional,data/raw/images\HakimApps_Guideline\2710.jpg
2710,HakimApps_Guideline,person,0.3565,promotional,data/raw/images\HakimApps_Guideline\2710.jpg
2714,HakimApps_Guideline,book,0.3232,promotional,data/raw/images\HakimApps_Guideline\2714.jpg
2717,HakimApps_Guideline,person,0.8158,promotional,data/raw/images\HakimApps_Guideline\2717.jpg
2721,HakimApps_Guideline,clock,0.4481,promotional,data/raw/images\HakimApps_Guideline\2721.jpg
2722,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2722.jpg
2725,HakimApps_Guideline,clock,0.6562,promotional,data/raw/images\HakimApps_Guideline\2725.jpg
2725,HakimApps_Guideline,book,0.3957,promotional,data/raw/images\HakimApps_Guideline\2725.jpg
2725,HakimApps_Guideline,clock,0.3159,promotional,data/raw/images\HakimApps_Guideline\2725.jpg
2726,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2726.jpg
2727,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2727.jpg
2728,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2728.jpg
2729,HakimApps_Guideline,person,0.8149,promotional,data/raw/images\HakimApps_Guideline\2729.jpg
2729,HakimApps_Guideline,person,0.7757,promotional,data/raw/images\HakimApps_Guideline\2729.jpg
2729,HakimApps_Guideline,person,0.6119,promotional,data/raw/images\HakimApps_Guideline\2729.jpg
2729,HakimApps_Guideline,person,0.4262,promotional,data/raw/images\HakimApps_Guideline\2729.jpg
2729,HakimApps_Guideline,person,0.3932,promotional,data/raw/images\HakimApps_Guideline\2729.jpg
2731,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2731.jpg
2732,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2732.jpg
2733,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2733.jpg
2734,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2734.jpg
2735,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2735.jpg
2736,HakimApps_Guideline,person,0.5698,promotional,data/raw/images\HakimApps_Guideline\2736.jpg
2736,HakimApps_Guideline,person,0.4406,promotional,data/raw/images\HakimApps_Guideline\2736.jpg
2736,HakimApps_Guideline,person,0.4354,promotional,data/raw/images\HakimApps_Guideline\2736.jpg
2736,HakimApps_Guideline,book,0.3741,promotional,data/raw/images\HakimApps_Guideline\2736.jpg
2736,HakimApps_Guideline,book,0.3057,promotional,data/raw/images\HakimApps_Guideline\2736.jpg
2737,HakimApps_Guideline,book,0.306,promotional,data/raw/images\HakimApps_Guideline\2737.jpg
2742,HakimApps_Guideline,clock,0.4882,promotional,data/raw/images\HakimApps_Guideline\2742.jpg
2742,HakimApps_Guideline,book,0.4228,promotional,data/raw/images\HakimApps_Guideline\2742.jpg
2743,HakimApps_Guideline,clock,0.6175,promotional,data/raw/images\HakimApps_Guideline\2743.jpg
2753,HakimApps_Guideline,clock,0.3267,promotional,data/raw/images\HakimApps_Guideline\2753.jpg
2754,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2754.jpg
2767,HakimApps_Guideline,book,0.4847,promotional,data/raw/images\HakimApps_Guideline\2767.jpg
2768,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2768.jpg
2772,HakimApps_Guideline,person,0.5815,promotional,data/raw/images\HakimApps_Guideline\2772.jpg
2772,HakimApps_Guideline,person,0.4745,promotional,data/raw/images\HakimApps_Guideline\2772.jpg
2772,HakimApps_Guideline,bed,0.4315,promotional,data/raw/images\HakimApps_Guideline\2772.jpg
2772,HakimApps_Guideline,person,0.331,promotional,data/raw/images\HakimApps_Guideline\2772.jpg
2773,HakimApps_Guideline,person,0.6167,promotional,data/raw/images\HakimApps_Guideline\2773.jpg
2774,HakimApps_Guideline,person,0.7596,promotional,data/raw/images\HakimApps_Guideline\2774.jpg
2775,HakimApps_Guideline,person,0.6532,promotional,data/raw/images\HakimApps_Guideline\2775.jpg
2775,HakimApps_Guideline,bed,0.5051,promotional,data/raw/images\HakimApps_Guideline\2775.jpg
2775,HakimApps_Guideline,person,0.3662,promotional,data/raw/images\HakimApps_Guideline\2775.jpg
2783,HakimApps_Guideline,cell phone,0.413,promotional,data/raw/images\HakimApps_Guideline\2783.jpg
2783,HakimApps_Guideline,person,0.3089,promotional,data/raw/images\HakimApps_Guideline\2783.jpg
2790,HakimApps_Guideline,person,0.5225,promotional,data/raw/images\HakimApps_Guideline\2790.jpg
